,Family,Plant,Code,Lat,Long,Site,Location,Plot,Collection,Date_Label,Date,Year,Plant_family,ID_Num,Order,Subfamily,Genus,Species,Gender,Morph,Count,Type,fltyp,flcol,Functional_group,Functional_group2,int1,int,Pl_ID,Pol_ID
14,Andrenidae,Brassica_napus,WAN3_10.5_01,52.083N,11.418E,Wanzleben,WAN,3,2017,10.V.2017,5/10/2017,2017,Brassicaceae,1,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
15,Andrenidae,Brassica_napus,SST2_3.5_07,51.377N,11.720E,Schafstaedt,SST,2,2017,3.V.2017,5/3/2017,2017,Brassicaceae,7,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.flavipes-Brassica_napus,P_ 6,I_ 11
16,Andrenidae,Brassica_napus,WAN2_17.5_06,52.092N,11.427E,Wanzleben,WAN,2,2017,17.V.2024,5/17/2017,2017,Brassicaceae,6,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
17,Andrenidae,Ribes_aureum,SST2_28.4_05,51.377N,11.720E,Schafstaedt,SST,2,2017,28.IV.2017,4/28/2017,2017,Grossulariaceae,5,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,1,Pin,Bell,g,Andrenidae,WildBee,Andrenidae-Ribes_aureum,Andrena.nigroaenea-Ribes_aureum,P_32,I_ 21
18,Andrenidae,Taraxacum_officinale,SIP1_10.5_13,51.654N,11.038E,Siptenfelde,SIP,1,2017,10.V.2017,5/10/2017,2017,Asteraceae,13,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.haemorrhoa-Taraxacum_officinale,P_40,I_ 16
19,Andrenidae,Taraxacum_officinale,GRE3_20.4_03,51.619N,11.439E,Greifenhagen,GRE,3,2017,20.IV.2017,4/20/2017,2017,Asteraceae,3,Hymenoptera,NA,Andrena,flavipes,female,Andrena.flavipes,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
20,Andrenidae,Taraxacum_officinale,HAR3_26.4_04,51.854N,11.088E,Harsleben,HAR,3,2017,26.IV.2017,4/26/2017,2017,Asteraceae,4,Hymenoptera,NA,Andrena,gravida,male,Andrena.gravida,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.gravida-Taraxacum_officinale,P_40,I_ 15
21,Andrenidae,Taraxacum_officinale,SIP2_26.4_01,51.638N,11.060E,Siptenfelde,SIP,2,2017,26.IV.2017,4/26/2017,2017,Asteraceae,1,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nigroaenea-Taraxacum_officinale,P_40,I_ 21
22,Andrenidae,Brassica_napus,WAN3_26.4_03,52.083N,11.418E,Wanzleben,WAN,3,2017,26.IV.2017,4/26/2017,2017,Brassicaceae,3,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,2,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
23,Andrenidae,Brassica_napus,WAN1_10.5_s6,52.094N,11.417E,Wanzleben,WAN,1,2017,10.V.2018,5/10/2017,2017,Brassicaceae,s6,Hymenoptera,NA,Andrena,nigroaenea,NA,Andrena.nigroaenea,2,Sight,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
24,Andrenidae,Brassica_napus,WAN2_17.5_s3,52.092N,11.427E,Wanzleben,WAN,2,2017,17.V.2023,5/17/2017,2017,Brassicaceae,s3,Hymenoptera,NA,Andrena,haemorrhoa,NA,Andrena.haemorrhoa,2,Sight,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
25,Andrenidae,Taraxacum_officinale,SST3_28.4_s5,51.354N,11.734E,Schafstaedt,SST,3,2017,28.IV.2020,4/28/2017,2017,Asteraceae,s5,Hymenoptera,NA,Andrena,flavipes,NA,Andrena.flavipes,25,Sight,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
26,Andrenidae,Taraxacum_officinale,SIP1_16.5_05,51.654N,11.038E,Siptenfelde,SIP,1,2017,16.V.2017,5/16/2017,2017,Asteraceae,5,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.haemorrhoa-Taraxacum_officinale,P_40,I_ 16
27,Andrenidae,Taraxacum_officinale,SIP2_16.5_17,51.638N,11.060E,Siptenfelde,SIP,2,2017,16.V.2020,5/16/2017,2017,Asteraceae,17,Hymenoptera,NA,Andrena,cineraria,female,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
28,Andrenidae,Crataegus_monogyna,HAR3_22.5_04,51.854N,11.088E,Harsleben,HAR,3,2017,22.V.2020,5/22/2017,2017,Rosaceae,4,Hymenoptera,NA,Andrena,synadelpha,female,Andrena.synadelpha,1,Pin,DiskON,w,Andrenidae,WildBee,Andrenidae-Crataegus_monogyna,Andrena.synadelpha-Crataegus_monogyna,P_ 9,I_ 26
29,Andrenidae,Brassica_napus,SST2_3.5_06,51.377N,11.720E,Schafstaedt,SST,2,2017,3.V.2017,5/3/2017,2017,Brassicaceae,6,Hymenoptera,NA,Andrena,dorsata,male,Andrena.dorsata,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.dorsata-Brassica_napus,P_ 6,I_ 10
30,Andrenidae,Taraxacum_officinale,GRE4_12.5_06,51.645N,11.439E,Greifenhagen,GRE,4,2017,12.V.2017,5/12/2017,2017,Asteraceae,6,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
31,Andrenidae,Brassica_napus,GRE2_28.4_05,51.621N,11.457E,Greifenhagen,GRE,2,2017,28.IV.2017,4/28/2017,2017,Brassicaceae,5,Hymenoptera,NA,Andrena,nigroaenea,female,Andrena.nigroaenea,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
32,Andrenidae,Taraxacum_officinale,GRE1_20.4_07,51.624N,11.455E,Greifenhagen,GRE,1,2017,20.IV.2017,4/20/2017,2017,Asteraceae,7,Hymenoptera,NA,Andrena,strohmella,male,Andrena.strohmella,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.strohmella-Taraxacum_officinale,P_40,I_ 24
33,Andrenidae,Taraxacum_officinale,SST3_3.5_s2,51.354N,11.734E,Schafstaedt,SST,3,2017,3.V.2019,5/3/2017,2017,Asteraceae,s2,Hymenoptera,NA,Andrena,flavipes,NA,Andrena.flavipes,12,Sight,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
34,Andrenidae,Taraxacum_officinale,WAN3_10.5_03,52.083N,11.418E,Wanzleben,WAN,3,2017,10.V.2017,5/10/2017,2017,Asteraceae,3,Hymenoptera,NA,Andrena,nitida,female,Andrena.nitida,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nitida-Taraxacum_officinale,P_40,I_ 22
35,Andrenidae,Brassica_napus,WAN1_17.5_11,52.094N,11.417E,Wanzleben,WAN,1,2017,17.V.2026,5/17/2017,2017,Brassicaceae,11,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
36,Andrenidae,Taraxacum_officinale,WAN3_26.4_11,52.083N,11.418E,Wanzleben,WAN,3,2017,26.IV.2017,4/26/2017,2017,Asteraceae,11,Hymenoptera,NA,Andrena,gravida,male,Andrena.gravida,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.gravida-Taraxacum_officinale,P_40,I_ 15
37,Andrenidae,Descurainia_sophia,FRI2_21.5_02,51.623N,11.730E,Friedeburg,FRI,2,2017,21.V.2020,5/21/2017,2017,Brassicaceae,2,Hymenoptera,NA,Andrena,gravida,female,Andrena.gravida,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Descurainia_sophia,Andrena.gravida-Descurainia_sophia,P_11,I_ 15
38,Andrenidae,Taraxacum_officinale,SST3_20.4_02,51.354N,11.734E,Schafstaedt,SST,3,2017,20.IV.2017,4/20/2017,2017,Asteraceae,2,Hymenoptera,NA,Andrena,cineraria,male,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
39,Andrenidae,Brassica_napus,WAN2_17.5_05,52.092N,11.427E,Wanzleben,WAN,2,2017,17.V.2022,5/17/2017,2017,Brassicaceae,5,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
40,Andrenidae,Brassica_napus,WAN1_17.5_s4,52.094N,11.417E,Wanzleben,WAN,1,2017,17.V.2027,5/17/2017,2017,Brassicaceae,s4,Hymenoptera,NA,Andrena,haemorrhoa,NA,Andrena.haemorrhoa,2,Sight,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
41,Andrenidae,Brassica_napus,GRE3_23.5_05,51.619N,11.439E,Greifenhagen,GRE,3,2017,23.V.2017,5/23/2017,2017,Brassicaceae,5,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
42,Andrenidae,Crataegus_monogyna,FRI2_17.5_02,51.623N,11.730E,Friedeburg,FRI,2,2017,17.V.2020,5/17/2017,2017,Rosaceae,2,Hymenoptera,NA,Andrena,helvola,female,Andrena.helvola,1,Pin,DiskON,w,Andrenidae,WildBee,Andrenidae-Crataegus_monogyna,Andrena.helvola-Crataegus_monogyna,P_ 9,I_ 17
43,Andrenidae,Brassica_napus,GRE3_23.5_06,51.619N,11.439E,Greifenhagen,GRE,3,2017,23.V.2017,5/23/2017,2017,Brassicaceae,6,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.flavipes-Brassica_napus,P_ 6,I_ 11
44,Andrenidae,Prunus_cerasus,SST1_3.5_11,51.381N,11.717E,Schafstaedt,SST,1,2017,3.V.2017,5/3/2017,2017,Rosaceae,11,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,DiskHN,w,Andrenidae,WildBee,Andrenidae-Prunus_cerasus,Andrena.flavipes-Prunus_cerasus,P_27,I_ 11
45,Andrenidae,Taraxacum_officinale,SST3_12.5_06,51.354N,11.734E,Schafstaedt,SST,3,2017,12.V.2017,5/12/2017,2017,Asteraceae,6,Hymenoptera,NA,Andrena,cineraria,female,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
46,Andrenidae,Brassica_napus,WAN3_26.4_02,52.083N,11.418E,Wanzleben,WAN,3,2017,26.IV.2017,4/26/2017,2017,Brassicaceae,2,Hymenoptera,NA,Andrena,nigroaenea,female,Andrena.nigroaenea,3,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
47,Andrenidae,Taraxacum_officinale,GRE1_28.4_09,51.624N,11.455E,Greifenhagen,GRE,1,2017,28.IV.2017,4/28/2017,2017,Asteraceae,9,Hymenoptera,NA,Andrena,cineraria,female,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
48,Andrenidae,Brassica_napus,SIP2_16.5_s6,51.638N,11.060E,Siptenfelde,SIP,2,2017,16.V.2021,5/16/2017,2017,Brassicaceae,s6,Hymenoptera,NA,Andrena,haemorrhoa,NA,Andrena.haemorrhoa,2,Sight,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
49,Andrenidae,Capsella_bursa-pastoris,GRE1_12.5_04,51.624N,11.455E,Greifenhagen,GRE,1,2017,12.V.2017,5/12/2017,2017,Brassicaceae,4,Hymenoptera,NA,Andrena,strohmella,female,Andrena.strohmella,1,Pin,DiskHN,w,Andrenidae,WildBee,Andrenidae-Capsella_bursa-pastoris,Andrena.strohmella-Capsella_bursa-pastoris,P_ 8,I_ 24
50,Andrenidae,Ribes_aureum,SST2_28.4_04,51.377N,11.720E,Schafstaedt,SST,2,2017,28.IV.2017,4/28/2017,2017,Grossulariaceae,4,Hymenoptera,NA,Andrena,cineraria,male,Andrena.cineraria,1,Pin,Bell,g,Andrenidae,WildBee,Andrenidae-Ribes_aureum,Andrena.cineraria-Ribes_aureum,P_32,I_  9
51,Andrenidae,Taraxacum_officinale,FRI3_20.4_02,51.633N,11.706E,Friedeburg,FRI,3,2017,20.IV.2017,4/20/2017,2017,Asteraceae,2,Hymenoptera,NA,Andrena,nigroaenea,female,Andrena.nigroaenea,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nigroaenea-Taraxacum_officinale,P_40,I_ 21
52,Andrenidae,Taraxacum_officinale,SST2_28.4_s2,51.377N,11.720E,Schafstaedt,SST,2,2017,28.IV.2018,4/28/2017,2017,Asteraceae,s2,Hymenoptera,NA,Andrena,flavipes,NA,Andrena.flavipes,1,Sight,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
53,Andrenidae,Brassica_napus,GRE4_28.4_03,51.645N,11.439E,Greifenhagen,GRE,4,2017,28.IV.2017,4/28/2017,2017,Brassicaceae,3,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
54,Andrenidae,Brassica_napus,GRE1_28.4_03,51.624N,11.455E,Greifenhagen,GRE,1,2017,28.IV.2017,4/28/2017,2017,Brassicaceae,3,Hymenoptera,NA,Andrena,cineraria,female,Andrena.cineraria,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.cineraria-Brassica_napus,P_ 6,I_  9
55,Andrenidae,Taraxacum_officinale,SIP1_10.5_09,51.654N,11.038E,Siptenfelde,SIP,1,2017,10.V.2017,5/10/2017,2017,Asteraceae,9,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.haemorrhoa-Taraxacum_officinale,P_40,I_ 16
56,Andrenidae,Brassica_napus,SST2_28.4_09,51.377N,11.720E,Schafstaedt,SST,2,2017,28.IV.2017,4/28/2017,2017,Brassicaceae,9,Hymenoptera,NA,Andrena,helvola,female,Andrena.helvola,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.helvola-Brassica_napus,P_ 6,I_ 17
57,Andrenidae,Brassica_napus,SIP1_10.5_02,51.654N,11.038E,Siptenfelde,SIP,1,2017,10.V.2017,5/10/2017,2017,Brassicaceae,2,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
58,Andrenidae,Taraxacum_officinale,WAN3_26.4_06,52.083N,11.418E,Wanzleben,WAN,3,2017,26.IV.2017,4/26/2017,2017,Asteraceae,6,Hymenoptera,NA,Andrena,cineraria,female,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
59,Andrenidae,Brassica_napus,HAR1_11.5_09,51.857N,11.071E,Harsleben,HAR,1,2017,11.V.2017,5/11/2017,2017,Brassicaceae,9,Hymenoptera,NA,Andrena,nigroaenea,female,Andrena.nigroaenea,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.nigroaenea-Brassica_napus,P_ 6,I_ 21
60,Andrenidae,Taraxacum_officinale,WAN3_26.4_12,52.083N,11.418E,Wanzleben,WAN,3,2017,26.IV.2017,4/26/2017,2017,Asteraceae,12,Hymenoptera,NA,Andrena,nitida,male,Andrena.nitida,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nitida-Taraxacum_officinale,P_40,I_ 22
61,Andrenidae,Taraxacum_officinale,GRE3_28.4_10,51.619N,11.439E,Greifenhagen,GRE,3,2017,28.IV.2017,4/28/2017,2017,Asteraceae,10,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
62,Andrenidae,Taraxacum_officinale,SST1_28.4_06,51.381N,11.717E,Schafstaedt,SST,1,2017,28.IV.2017,4/28/2017,2017,Asteraceae,6,Hymenoptera,NA,Andrena,nigroaenea,male,Andrena.nigroaenea,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nigroaenea-Taraxacum_officinale,P_40,I_ 21
63,Andrenidae,Taraxacum_officinale,GRE1_12.5_08,51.624N,11.455E,Greifenhagen,GRE,1,2017,12.V.2017,5/12/2017,2017,Asteraceae,8,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
64,Andrenidae,Taraxacum_officinale,GRE1_20.4_03,51.624N,11.455E,Greifenhagen,GRE,1,2017,20.IV.2017,4/20/2017,2017,Asteraceae,3,Hymenoptera,NA,Andrena,cineraria,male,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
65,Andrenidae,Taraxacum_officinale,GRE4_7.5_13,51.645N,11.439E,Greifenhagen,GRE,4,2017,7.V.2017,5/7/2017,2017,Asteraceae,13,Hymenoptera,NA,Andrena,cineraria,female,Andrena.cineraria,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.cineraria-Taraxacum_officinale,P_40,I_  9
66,Andrenidae,Taraxacum_officinale,GRE4_7.5_12,51.645N,11.439E,Greifenhagen,GRE,4,2017,7.V.2017,5/7/2017,2017,Asteraceae,12,Hymenoptera,NA,Andrena,nigroaenea,female,Andrena.nigroaenea,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.nigroaenea-Taraxacum_officinale,P_40,I_ 21
67,Andrenidae,Crataegus_monogyna,WAN3_17.5_02,52.083N,11.418E,Wanzleben,WAN,3,2017,17.V.2020,5/17/2017,2017,Rosaceae,2,Hymenoptera,NA,Andrena,scotica,female,Andrena.scotica,1,Pin,DiskON,w,Andrenidae,WildBee,Andrenidae-Crataegus_monogyna,Andrena.scotica-Crataegus_monogyna,P_ 9,I_ 23
68,Andrenidae,Taraxacum_officinale,SST1_3.5_04,51.381N,11.717E,Schafstaedt,SST,1,2017,3.V.2017,5/3/2017,2017,Asteraceae,4,Hymenoptera,NA,Andrena,flavipes,male,Andrena.flavipes,1,Pin,FlowerHead,g,Andrenidae,WildBee,Andrenidae-Taraxacum_officinale,Andrena.flavipes-Taraxacum_officinale,P_40,I_ 11
69,Andrenidae,Brassica_napus,SST3_28.4_08,51.354N,11.734E,Schafstaedt,SST,3,2017,28.IV.2021,4/28/2017,2017,Brassicaceae,8,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Brassica_napus,Andrena.haemorrhoa-Brassica_napus,P_ 6,I_ 16
70,Andrenidae,Lamium_purpureum,WAN1_10.5_01,52.094N,11.417E,Wanzleben,WAN,1,2017,10.V.2017,5/10/2017,2017,Lamiaceae,1,Hymenoptera,NA,Andrena,haemorrhoa,female,Andrena.haemorrhoa,1,Pin,Lip,pu,Andrenidae,WildBee,Andrenidae-Lamium_purpureum,Andrena.haemorrhoa-Lamium_purpureum,P_21,I_ 16
71,Andrenidae,Descurainia_sophia,SST2_21.5_02,51.377N,11.720E,Schafstaedt,SST,2,2017,21.V.2020,5/21/2017,2017,Brassicaceae,2,Hymenoptera,NA,Andrena,floricola,female,Andrena.floricola,1,Pin,DiskHN,g,Andrenidae,WildBee,Andrenidae-Descurainia_sophia,Andrena.floricola-Descurainia_sophia,P_11,I_ 12
